SampleID	BarcodeSequence	LinkerPrimerSequence	life_stage	site	year
tad01			tadpole	Park	2017
tad02			tadpole	Park	2017
tad03			tadpole	Park	2017
tad04			tadpole	Park	2017
tad05			tadpole	Park	2017
tad06			tadpole	Park	2017
juv01			juvenile	Park	2017
juv02			juvenile	Park	2017
juv03			juvenile	Park	2017
juv04			juvenile	Park	2017
juv05			juvenile	Park	2017
juv06			juvenile	Park	2017
adu01			adult	Park	2017
adu02			adult	Park	2017
adu03			adult	Park	2017
adu04			adult	Park	2017
adu05			adult	Park	2017
adu06			adult	Park	2017
